Datetime,Sample,Time_Step,MSLP,Latitude,Longitude
2023-07-13 12:00:00,16,0,100149.4765625,17.25,119.25
2023-07-13 12:00:00,16,1,99732.9921875,17.25,118.5
2023-07-13 12:00:00,16,2,99397.1953125,17.75,118.5
2023-07-13 12:00:00,16,3,99017.9375,18.75,118.0
2023-07-13 12:00:00,16,4,98602.6171875,19.5,116.75
2023-07-13 12:00:00,16,5,98193.7421875,20.0,115.25
2023-07-13 12:00:00,16,6,98082.6484375,20.25,113.75
2023-07-13 12:00:00,16,7,98201.8203125,21.0,112.25
2023-07-13 12:00:00,16,8,99474.84375,22.0,110.75
2023-07-13 12:00:00,16,9,99835.203125,21.75,109.25
2023-07-13 12:00:00,16,10,100163.5546875,21.5,108.25
2023-07-13 12:00:00,17,0,100117.140625,18.5,122.0
2023-07-13 12:00:00,17,1,100085.609375,18.25,120.5
2023-07-13 12:00:00,17,2,99454.7890625,18.0,119.0
2023-07-13 12:00:00,17,3,99296.6171875,19.0,119.0
2023-07-13 12:00:00,17,4,98986.21875,19.5,117.5
2023-07-13 12:00:00,17,5,98739.6796875,19.75,116.0
2023-07-13 12:00:00,17,6,99118.7578125,20.0,114.5
2023-07-13 12:00:00,17,7,99316.78125,20.25,113.0
2023-07-13 12:00:00,17,8,99639.8203125,20.75,111.5
2023-07-13 12:00:00,17,9,99916.1484375,21.0,110.0
2023-07-13 12:00:00,17,10,99940.78125,20.5,108.5
2023-07-13 12:00:00,17,11,100105.0390625,19.5,107.0
2023-07-13 12:00:00,18,0,100095.78125,18.75,122.0
2023-07-13 12:00:00,18,1,99931.140625,18.25,120.5
2023-07-13 12:00:00,18,2,99681.296875,18.25,119.0
2023-07-13 12:00:00,18,3,99207.4140625,18.75,117.5
2023-07-13 12:00:00,18,4,98264.2421875,19.0,116.0
2023-07-13 12:00:00,18,5,97955.140625,19.5,114.5
2023-07-13 12:00:00,18,6,97748.203125,19.75,113.0
2023-07-13 12:00:00,18,7,98236.875,20.25,111.5
2023-07-13 12:00:00,18,8,99095.9609375,21.0,110.0
2023-07-13 12:00:00,18,9,99741.53125,21.0,108.5
2023-07-13 12:00:00,18,10,100141.2421875,19.5,107.0
2023-07-13 12:00:00,19,0,100168.0859375,18.5,121.75
2023-07-13 12:00:00,19,1,99975.6796875,18.0,120.25
2023-07-13 12:00:00,19,2,99709.84375,18.0,118.75
2023-07-13 12:00:00,19,3,99292.0859375,19.0,117.25
2023-07-13 12:00:00,19,4,99038.0,19.0,115.75
2023-07-13 12:00:00,19,5,98865.453125,19.25,114.25
2023-07-13 12:00:00,19,6,98916.3515625,19.75,112.75
2023-07-13 12:00:00,19,7,99130.203125,19.5,111.25
2023-07-13 12:00:00,19,8,99194.4453125,20.25,109.75
2023-07-13 12:00:00,19,9,98918.3203125,20.75,108.25
2023-07-13 12:00:00,19,10,99691.1640625,20.75,106.75
2023-07-13 12:00:00,19,11,99835.65625,20.0,105.75
2023-07-13 12:00:00,19,12,100191.734375,20.0,105.75
2023-07-13 12:00:00,20,0,100082.5078125,18.5,122.25
2023-07-13 12:00:00,20,1,100070.421875,18.0,121.5
2023-07-13 12:00:00,20,2,100020.3203125,18.0,120.0
2023-07-13 12:00:00,20,3,99641.234375,19.0,118.5
2023-07-13 12:00:00,20,4,99845.046875,19.0,117.0
2023-07-13 12:00:00,20,5,99550.9140625,19.0,115.5
2023-07-13 12:00:00,20,6,99476.8359375,19.25,114.0
2023-07-13 12:00:00,20,7,99497.46875,19.0,112.5
2023-07-13 12:00:00,20,8,99805.1015625,19.25,111.0
2023-07-13 12:00:00,20,9,100044.3828125,18.0,109.5
2023-07-13 12:00:00,21,0,100029.4375,18.5,122.25
2023-07-13 12:00:00,21,1,99958.9609375,19.0,120.75
2023-07-13 12:00:00,21,2,99689.2578125,18.25,119.25
2023-07-13 12:00:00,21,3,99471.0234375,18.75,118.75
2023-07-13 12:00:00,21,4,99220.796875,19.5,117.75
2023-07-13 12:00:00,21,5,99366.96875,19.5,116.25
2023-07-13 12:00:00,21,6,99218.8984375,19.75,114.75
2023-07-13 12:00:00,21,7,99355.9921875,19.75,113.25
2023-07-13 12:00:00,21,8,99614.4609375,20.75,111.75
2023-07-13 12:00:00,21,9,99769.3515625,20.75,110.25
2023-07-13 12:00:00,21,10,100196.984375,20.75,108.75
2023-07-13 12:00:00,22,0,100203.0546875,19.0,121.25
2023-07-13 12:00:00,22,1,100115.328125,17.75,119.75
2023-07-13 12:00:00,22,2,99796.8984375,17.75,118.25
2023-07-13 12:00:00,22,3,99616.0859375,18.75,118.0
2023-07-13 12:00:00,22,4,99446.953125,19.0,116.5
2023-07-13 12:00:00,22,5,99564.671875,19.25,115.0
2023-07-13 12:00:00,22,6,99544.8125,18.25,113.5
2023-07-13 12:00:00,22,7,99557.265625,18.75,112.0
2023-07-13 12:00:00,22,8,99777.1875,17.75,110.5
2023-07-13 12:00:00,22,9,99750.53125,17.25,109.0
2023-07-13 12:00:00,22,10,100007.15625,18.0,107.5
2023-07-13 12:00:00,23,0,100151.6484375,18.5,122.0
2023-07-13 12:00:00,23,1,99947.8359375,18.75,120.5
2023-07-13 12:00:00,23,2,99326.1640625,17.75,119.25
2023-07-13 12:00:00,23,3,99057.0546875,18.75,118.25
2023-07-13 12:00:00,23,4,98499.1953125,19.25,117.75
2023-07-13 12:00:00,23,5,98237.6171875,20.25,116.5
2023-07-13 12:00:00,23,6,98468.0,20.5,115.0
2023-07-13 12:00:00,23,7,98430.5078125,21.0,113.5
